District,Janpad,Sector,Gram_Panchayat,GP_20Sep_Name,Sub_Engineer,Correction
Maihar,Ramnagar,GORSARI,GANJAS,Gajas,श्रीमती साधना सिंह,
Maihar,Ramnagar,GORSARI,GORSARI,Gorsari,श्रीमती साधना सिंह,
Maihar,Ramnagar,GORSARI,HARDUA,Hardua,श्रीमती साधना सिंह,
Maihar,Ramnagar,GORSARI,MASAMASI,Masmasi,श्रीमती साधना सिंह,
Maihar,Ramnagar,GORSARI,MIRGAUTI (NEW),Mirgauti,श्रीमती साधना सिंह,
Maihar,Ramnagar,GORSARI,PURAINA,Puraina,श्रीमती साधना सिंह,
Maihar,Ramnagar,JIGNA,ARGAT,Argat,संजय गुप्ता,
Maihar,Ramnagar,JIGNA,CHHIRAHAI,Chhirhai,संजय गुप्ता,
Maihar,Ramnagar,JIGNA,GULWARGUJARA,Gulwar Gujara,संजय गुप्ता,
Maihar,Ramnagar,JIGNA,HINAUTI,Hinauti,संजय गुप्ता,
Maihar,Ramnagar,JIGNA,JATTHAHATOLA,Jattha Tola,संजय गुप्ता,
Maihar,Ramnagar,JIGNA,JHINNA,Jhinna,संजय गुप्ता,
Maihar,Ramnagar,JIGNA,JIGANA,Jigana,संजय गुप्ता,
Maihar,Ramnagar,JIGNA,JUDMANI,Judwani,संजय गुप्ता,
Maihar,Ramnagar,JIGNA,KHODHRI,Khodari,संजय गुप्ता,
Maihar,Ramnagar,JIGNA,NAUGAON,Nowgaon No. 4,संजय गुप्ता,
Maihar,Ramnagar,JIGNA,SAGAUNIKHURD,Sagauni Khurd,संजय गुप्ता,
Maihar,Ramnagar,MURTIHAI,BELHAI,Belhai,राजा राम चंदेल अति0,
Maihar,Ramnagar,MURTIHAI,BHAMARAHA,Bhamraha,राजा राम चंदेल अति0,
Maihar,Ramnagar,MURTIHAI,BUDHABAUR,Budhaboure,राजा राम चंदेल अति0,
Maihar,Ramnagar,MURTIHAI,DEVDAHA,Dewdaha,राजा राम चंदेल अति0,
Maihar,Ramnagar,MURTIHAI,KAITHAHA,Kaithaha,राजा राम चंदेल अति0,
Maihar,Ramnagar,MURTIHAI,MAJHATOLWA,Majhtolwa,राजा राम चंदेल अति0,
Maihar,Ramnagar,MURTIHAI,MANAKISAR,Mankisar,राजा राम चंदेल अति0,
Maihar,Ramnagar,MURTIHAI,MARYADPUR,Maryadpur,राजा राम चंदेल अति0,
Maihar,Ramnagar,MURTIHAI,MURTIHAI,Murtihai,राजा राम चंदेल अति0,
Maihar,Ramnagar,MURTIHAI,PAIPAKHARA,Paipakhara,राजा राम चंदेल अति0,
Maihar,Ramnagar,MURTIHAI,SARIYA,Sariya,राजा राम चंदेल अति0,
